id,dragName,realName,hometown,biography,twitter,instagram,tiktok,metadataSourceUrl,hasImages,imageCount,imageUrls,lastImageScrapeAt,age,outcome,season,franchise,seasonMetadataSourceUrl,createdAt,updatedAt
60f8d439-4e50-4857-8c86-644508616700,Argennis[c],7th place,"Ciudad Juárez, Chihuahua",,,,,,false,0,,,26,7th place,Drag Race México Season 1,Drag Race México,https://en.wikipedia.org/wiki/Drag_Race_M%C3%A9xico_season_1,2025-08-20T19:49:39.629Z,2025-08-20T19:49:39.629Z
c0298d42-4c5e-487d-84e6-604729b3d29b,Margaret Y Ya,6th place,Ciudad de México,,,,,https://rupaulsdragrace.fandom.com/wiki/Margaret_Y_Ya,false,0,,,28,6th place,Drag Race México Season 1,Drag Race México,https://en.wikipedia.org/wiki/Drag_Race_M%C3%A9xico_season_1,2025-08-20T19:49:35.936Z,2025-08-20T19:49:35.936Z
8b2175b1-cde4-49ea-8a01-9e93f8f74c34,Lady Kero,5th place[b],"Ocotlán de Morelos, Oaxaca",,,,,https://rupaulsdragrace.fandom.com/wiki/Lady_Kero,false,0,,,33,5th place[b],Drag Race México Season 1,Drag Race México,https://en.wikipedia.org/wiki/Drag_Race_M%C3%A9xico_season_1,2025-08-20T19:49:30.229Z,2025-08-20T19:49:30.229Z
d3d4ab77-6ca7-4c97-b626-9cc6b19ef620,Cristian Peralta,Winner,"Guadalajara, Jalisco",,,,,https://rupaulsdragrace.fandom.com/wiki/Cristian_Peralta,false,0,,,35,Winner,Drag Race México Season 1,Drag Race México,https://en.wikipedia.org/wiki/Drag_Race_M%C3%A9xico_season_1,2025-08-20T19:49:26.339Z,2025-08-20T19:49:26.339Z
901b252b-fa25-44ff-bdb8-664f88000d04,Almighty Aphroditey,9th place,"Mora, Dalarna County",,,,,https://rupaulsdragrace.fandom.com/wiki/Almighty_Aphroditey,false,0,,,21,9th place,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:49:19.101Z,2025-08-20T19:49:19.101Z
27842327-d331-43aa-89f3-d42c0d7db781,Endigo,8th place,"Tokyo, Japan",,,,,https://rupaulsdragrace.fandom.com/wiki/Endigo,false,0,,,31,8th place,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:49:15.143Z,2025-08-20T19:49:15.143Z
8e43858a-937d-4df0-abc0-ff587e61a9ad,Imaa Queen,7th place,"Värnamo, Jönköping County",,,,,https://rupaulsdragrace.fandom.com/wiki/Queen_of_All_Queens,false,0,,,30,7th place,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:49:11.262Z,2025-08-20T19:49:11.262Z
32f6721f-1ea5-4a4d-8078-8fe669ed0927,Santana Sexmachine,6th place,"Berlin, Germany",,,,,https://rupaulsdragrace.fandom.com/wiki/Santana_Sexmachine,false,0,,,30,6th place,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:49:06.183Z,2025-08-20T19:49:06.183Z
dc1cc5ee-687a-4a90-9e2a-ee7c82d1e7a7,Antonina Nutshell,5th place[a],"Liverpool, United Kingdom",,,,,https://rupaulsdragrace.fandom.com/wiki/Antonina_Nutshell,false,0,,,29,5th place[a],Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:49:02.004Z,2025-08-20T19:49:02.004Z
03d9cf81-406a-4480-a208-92671fb86ae5,Elecktra,4th place,"Helsingborg, Skåne County",,,,,https://rupaulsdragrace.fandom.com/wiki/Elecktra,false,0,,,36,4th place,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:48:59.138Z,2025-08-20T19:48:59.138Z
